Filename,Sentiment polarity,Stimulation and excitement,Joy,Sadness,Fear,Disgust,Anger,Surprise,Neutral,Anger,Anxiety,Craving,Emphatic pain,Fear,Horror,Joy,Relief,Sadness,Surprise,Human facial expression gesture,Inherent image property,Image background,Objects in image,Text in image,Emoji sticker,Halo effect
052464df-5fdb-428a-9a4a-6036ea023b42.jpg,0.375,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2ce9b1bc-ee70-4128-85d1-0fd3ac272619.jpg,0.625,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2280b9f3-6989-4222-a0d9-ec4bd35d731b.jpg,0.75,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
257a8e84-7738-49e2-9945-7f082bf7ad34.jpg,0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3f6b222a-049c-4803-9cbb-5ea734110ed0.jpg,0.0,1.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0
e2d30072-2f83-4144-a4a3-2a860df24280.jpg,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
3d9ef98c-53f6-4535-89d4-b8bcbc245b45.jpg,0.25,0.375,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0664b588-c624-4f21-a83b-8f03da2b568e.jpg,0.625,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
dec2d350-4d1f-4992-af81-d065f80a0b52.jpg,0.75,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
b4ff0037-ddd0-45af-ba5a-675326043b4f.jpg,0.0,1.0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0
513ee0bf-76ec-4316-81f1-d3a50832cd8f.jpg,0.125,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21cfe305-0a4d-4058-99db-e8d45efbc6e1.jpg,0.125,0.75,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8219a903-2561-42af-b93a-48c61a9055dc.jpg,0.25,0.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
08c1f54e-81cc-42df-a620-e31d8c77a4e3.jpg,0.125,1.0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0
04537b76-a69b-4ff3-ab0e-30e1d497f782.jpg,0.75,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
445140a1-8b51-4082-8298-89ced6dda40d.jpg,0.875,0.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
53008987-e87b-4fd6-b56e-d16fec3c94bf.jpg,0.0,0.75,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
1f70e6cb-47f6-4038-afd6-11c8b4b3a89e.jpg,0.5,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
53e76b83-f414-4e4c-b1c7-2a71c47c2989.jpg,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
c102493e-e1d9-4515-b863-97ae19ee2e25.jpg,0.125,0.875,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0
a8323469-d59a-4710-9100-2d2e78a4ff0d.jpg,0.625,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
257f0760-26bd-49ac-84b4-812365617f37.jpg,0.625,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
63514484-4ff8-4e4e-babd-5f2adc49d5e8.jpg,0.125,0.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
d1c41cde-7350-4113-85e2-dfbd28567df8.jpg,0.0,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
28a719bc-0b17-4a8e-a4c1-51ce00f4700f.jpg,0.0,0.875,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
d8735683-32f1-4cc6-905f-eebef47fce47.jpg,0.375,0.375,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
834b013f-01ee-4783-97b1-808c73c0dcea.jpg,0.875,0.875,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
9e5604e7-a152-4c37-9d36-637d4d3c0c03.jpg,0.0,0.875,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0
dae25053-10e5-423e-940c-99f774a6ab5a.jpg,0.5,0.625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
f4939e69-21d3-4816-84bc-2997f0f0cf17.jpg,0.0,1.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
8702144b-2508-4f4e-a68e-1c7b58158ddb.jpg,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
df7ca33b-3ea4-4822-91b5-9c7dc7948905.jpg,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92ef7ad8-7e57-456c-b4b2-1e16f52ff306.jpg,0.5,0.5,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0
fde14f14-d018-44c2-a0cc-e8f1a254f525.jpg,0.25,0.375,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
87738745-362a-4eba-af44-e5ecc84d3ae4.jpg,0.0,0.5,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0
178ff1f3-7728-4acb-8232-a9ea0bd59b07.jpg,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4949c302-ce75-41ea-a63a-ab3c9c64cfb3.jpg,0.0,0.75,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
fc264983-1d39-41e6-a31e-6894f0fd2719.jpg,0.125,0.875,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0
f215a448-2f14-4f75-bb50-952998f1cf49.jpg,0.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
65844c11-66cc-420c-91c4-972fa7080a1d.jpg,0.0,0.375,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19eaa0ea-c202-4320-a4b8-2d5b6c37997e.jpg,0.75,0.125,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
05ef6d8e-2913-4d91-9d80-5726dc86cd06.jpg,0.5,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
b61ee208-a7a5-4c4c-81fc-c452dc48734c.jpg,0.75,0.875,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2531b9dd-01dd-453e-9643-5a54a3e6f00c.jpg,0.0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
7759dbba-6113-468c-b230-37c663fe7faa.jpg,0.75,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7a6a2190-61e3-4723-b596-eac42ad22e2b.jpg,0.375,0.375,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
054adbf9-0e34-46bc-a7b5-673ecd6c1393.jpg,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3521cb23-d13f-4416-9487-354700ffbb1b.jpg,0.125,0.125,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
